seed,tau,Group,rs,rm
9,0.5,Low-Risk,0.539568345323741,0.5323741007194245
9,0.6,Overall,0.61698956780924,0.5797317436661699
9,0.6,High-Risk,0.746031746031746,0.7261904761904762
9,0.6,Low-Risk,0.38848920863309355,0.381294964028777
9,0.7,Overall,0.46944858420268254,0.4217585692995529
9,0.7,High-Risk,0.5992063492063492,0.5595238095238095
9,0.7,Low-Risk,0.2517985611510791,0.2158273381294964
10,0.3,Overall,0.9046199701937406,0.9195230998509687
10,0.3,High-Risk,0.9714285714285714,0.9714285714285714
10,0.3,Low-Risk,0.8064516129032258,0.832258064516129
10,0.4,Overall,0.8375558867362146,0.856929955290611
10,0.4,High-Risk,0.9224489795918367,0.9591836734693877
10,0.4,Low-Risk,0.6967741935483871,0.7096774193548387
10,0.5,Overall,0.7511177347242921,0.7585692995529061
10,0.5,High-Risk,0.8734693877551021,0.9061224489795918
10,0.5,Low-Risk,0.5612903225806452,0.5419354838709678
10,0.6,Overall,0.6363636363636364,0.6140089418777943
10,0.6,High-Risk,0.8,0.7714285714285715
10,0.6,Low-Risk,0.36774193548387096,0.38064516129032255
10,0.7,Overall,0.503725782414307,0.44411326378539495
10,0.7,High-Risk,0.673469387755102,0.5918367346938775
10,0.7,Low-Risk,0.22580645161290322,0.1935483870967742
11,0.3,Overall,0.8926974664679582,0.9135618479880775
11,0.3,High-Risk,0.9655172413793104,0.9846743295019157
11,0.3,Low-Risk,0.7571428571428571,0.7928571428571428
11,0.4,Overall,0.819672131147541,0.8509687034277198
11,0.4,High-Risk,0.9157088122605364,0.9540229885057471
11,0.4,Low-Risk,0.6214285714285714,0.6857142857142857
11,0.5,Overall,0.7377049180327869,0.7481371087928465
11,0.5,High-Risk,0.8812260536398467,0.9080459770114943
11,0.5,Low-Risk,0.5,0.4857142857142857
11,0.6,Overall,0.6304023845007451,0.6020864381520119
11,0.6,High-Risk,0.8084291187739464,0.7854406130268199
11,0.6,Low-Risk,0.3357142857142857,0.29285714285714287
11,0.7,Overall,0.503725782414307,0.43815201192250375
11,0.7,High-Risk,0.6590038314176245,0.5938697318007663
11,0.7,Low-Risk,0.22857142857142856,0.19285714285714287
12,0.3,Overall,0.9016393442622951,0.9254843517138599
