seed,tau,Group,rs,rm
18,0.60000000,Overall,0.62295082,0.62593145
18,0.60000000,High-Risk,0.81176471,0.80784314
18,0.60000000,Low-Risk,0.33571429,0.34285714
18,0.70000000,Overall,0.50968703,0.50223547
18,0.70000000,High-Risk,0.68627451,0.66666667
18,0.70000000,Low-Risk,0.20714286,0.21428571
19,0.30000000,Overall,0.88822653,0.90163934
19,0.30000000,High-Risk,0.96850394,0.97637795
19,0.30000000,Low-Risk,0.74657534,0.76027397
19,0.40000000,Overall,0.81371088,0.82116244
19,0.40000000,High-Risk,0.91732283,0.92913386
19,0.40000000,Low-Risk,0.60273973,0.63698630
19,0.50000000,Overall,0.72131148,0.73770492
19,0.50000000,High-Risk,0.87795276,0.88582677
19,0.50000000,Low-Risk,0.45890411,0.50000000
19,0.60000000,Overall,0.60804769,0.60506706
19,0.60000000,High-Risk,0.77952756,0.77559055
19,0.60000000,Low-Risk,0.31506849,0.30821918
19,0.70000000,Overall,0.45156483,0.44411326
19,0.70000000,High-Risk,0.59055118,0.58267717
19,0.70000000,Low-Risk,0.17123288,0.16438356
20,0.30000000,Overall,0.92250373,0.92995529
20,0.30000000,High-Risk,0.97188755,0.96385542
20,0.30000000,Low-Risk,0.82666667,0.85333333
20,0.40000000,Overall,0.83904620,0.85245902
20,0.40000000,High-Risk,0.93975904,0.93975904
20,0.40000000,Low-Risk,0.65333333,0.68000000
20,0.50000000,Overall,0.73621461,0.74217586
20,0.50000000,High-Risk,0.89558233,0.89959839
20,0.50000000,Low-Risk,0.52666667,0.50666667
20,0.60000000,Overall,0.63338301,0.63338301
20,0.60000000,High-Risk,0.81124498,0.81526104
20,0.60000000,Low-Risk,0.36000000,0.37333333
20,0.70000000,Overall,0.48137109,0.46944858
20,0.70000000,High-Risk,0.65863454,0.62650602
20,0.70000000,Low-Risk,0.18666667,0.22666667
21,0.30000000,Overall,0.90909091,0.92101341
21,0.30000000,High-Risk,0.97107438,0.97520661
21,0.30000000,Low-Risk,0.80921053,0.82894737
21,0.40000000,Overall,0.83606557,0.84798808
