seed,Group,Model,ROC,PR,Rec,F1
14,Marginal,M,0.621090909090909,0.6048969622524055,0.6083916083916084,0.6203208556149733
14,Clear,S,0.870995670995671,0.8840466250468072,0.8311688311688312,0.845442536327609
14,Clear,M,0.8645512563038337,0.8788756832750915,0.8285714285714286,0.843915343915344
15,Marginal,S,0.644532633069751,0.6661953465234824,0.6013513513513513,0.6402877697841727
15,Marginal,M,0.6031216806325976,0.6626027326234878,0.6013513513513513,0.6267605633802817
15,Clear,S,0.8822222222222222,0.8942875296996157,0.832,0.8443843031123139
15,Clear,M,0.8755726495726496,0.8905937860454864,0.832,0.8432432432432433
16,Marginal,S,0.6816335476329634,0.7104581855582235,0.6413793103448275,0.6678635547576302
16,Marginal,M,0.6008766803039158,0.6295338107956054,0.5827586206896552,0.6024955436720143
16,Clear,S,0.8865797513015791,0.8953717574108995,0.8398950131233596,0.8579088471849866
16,Clear,M,0.8790327438578375,0.8908654400016915,0.8372703412073491,0.8552278820375335
17,Marginal,S,0.6460131557837319,0.6792681182844071,0.5645756457564576,0.6107784431137725
17,Marginal,M,0.6262313492700143,0.6510087783648643,0.5977859778597786,0.6206896551724138
17,Clear,S,0.8820418006430869,0.907652048942979,0.805,0.8407310704960835
17,Clear,M,0.8742604501607718,0.8968125820214445,0.805,0.8396349413298566
18,Marginal,S,0.6540806471085355,0.6361691863539777,0.5871212121212122,0.6042884990253411
18,Marginal,M,0.604536399855125,0.5757611351889039,0.5946969696969697,0.6015325670498084
18,Clear,S,0.8952215538422434,0.909293633722455,0.8402948402948403,0.8691232528589581
18,Clear,M,0.887833601626705,0.8996689567073647,0.8402948402948403,0.8691232528589581
19,Marginal,S,0.6662546021337776,0.6892427400960655,0.6177474402730375,0.6441281138790036
19,Marginal,M,0.6279863481228669,0.6231932755353192,0.6177474402730375,0.6262975778546713
19,Clear,S,0.897747174750659,0.9225451417599512,0.8015873015873016,0.8475524475524475
19,Clear,M,0.8823903545157901,0.9067545921803444,0.8015873015873016,0.8463687150837989
20,Marginal,S,0.6557854729729728,0.6810998339557575,0.5777027027027027,0.6184448462929476
20,Marginal,M,0.6354870495495496,0.6643793657434724,0.597972972972973,0.6276595744680851
20,Clear,S,0.8908615725359912,0.8932456809871039,0.8613333333333333,0.8682795698924731
20,Clear,M,0.8894795127353267,0.8899715627210936,0.8586666666666667,0.8655913978494624
21,Marginal,S,0.6103537739386031,0.6107447863788417,0.5483870967741935,0.5828571428571429
21,Marginal,M,0.572846837929845,0.5848951586224703,0.5734767025089605,0.5882352941176471
21,Clear,S,0.8919364103257197,0.9062542272923123,0.8443877551020408,0.8608582574772432
21,Clear,M,0.8873749831058251,0.900690900556326,0.8443877551020408,0.8608582574772432
22,Marginal,S,0.6552336552336552,0.6733803093416023,0.6048951048951049,0.6245487364620939
22,Marginal,M,0.6396936396936397,0.6317006097818779,0.6013986013986014,0.6175942549371634
22,Clear,S,0.8849683188783535,0.9020984681813293,0.825974025974026,0.8525469168900804
22,Clear,M,0.8769334471756618,0.8989264797106323,0.8207792207792208,0.8483221476510067
23,Marginal,S,0.6491629496611249,0.6622893186436812,0.6395759717314488,0.6557971014492754
23,Marginal,M,0.5933354573365001,0.5932980006754683,0.5936395759717314,0.6075949367088608
23,Clear,S,0.900725467735777,0.9115474704159271,0.8737113402061856,0.8851174934725848
23,Clear,M,0.8957443854351071,0.8996138954053055,0.8711340206185567,0.8836601307189542
24,Marginal,S,0.608505315822389,0.6158823170563027,0.5679442508710801,0.6059479553903345
24,Marginal,M,0.6048274219005926,0.634379815640133,0.5993031358885017,0.6198198198198198
24,Clear,S,0.8740244978284474,0.8905402630727774,0.8177083333333334,0.839572192513369
24,Clear,M,0.8757295059717698,0.8885999550839185,0.8177083333333334,0.8384512683578104
25,Marginal,S,0.6879236262406198,0.7100468652139982,0.5882352941176471,0.631163708086785
25,Marginal,M,0.6409313725490196,0.6338721291377649,0.6176470588235294,0.632768361581921
25,Clear,S,0.8870498393635095,0.9059262963700986,0.8421052631578947,0.8452830188679246
25,Clear,M,0.8726346066508553,0.8931282273469892,0.8421052631578947,0.8463476070528967
26,Marginal,S,0.664133665354647,0.7291184307997298,0.5796610169491525,0.6416510318949343
26,Marginal,M,0.6360832195357057,0.6923650554060696,0.5694915254237288,0.6153846153846154
26,Clear,S,0.8948823339780787,0.9004046808775532,0.8324468085106383,0.855191256830601
26,Clear,M,0.8792553191489361,0.8869557402381223,0.8351063829787234,0.854421768707483
27,Marginal,S,0.6589818358544438,0.6774692433221352,0.6129032258064516,0.6428571428571429
27,Marginal,M,0.6346364133406234,0.6651839165502436,0.5555555555555556,0.5950095969289827
27,Clear,S,0.8856641017062562,0.897162519319908,0.8392857142857143,0.8545454545454545
27,Clear,M,0.8737119437939108,0.8899728335648178,0.8316326530612245,0.8489583333333334
28,Marginal,S,0.6670400796614389,0.7028493543990645,0.6181229773462783,0.6541095890410958
28,Marginal,M,0.6541227560645035,0.6873795263894966,0.6116504854368932,0.6539792387543253
28,Clear,S,0.8873971961775873,0.8890225707857615,0.8729281767955801,0.8645690834473324
28,Clear,M,0.8838789209422858,0.8874332099089373,0.8729281767955801,0.8645690834473324
29,Marginal,S,0.6714171632164138,0.7107721852323579,0.6027397260273972,0.6470588235294118
29,Marginal,M,0.6475059893113828,0.7069654045384033,0.6027397260273972,0.6319569120287253
29,Clear,S,0.8815983803786861,0.8867877738246894,0.8311345646437994,0.8422459893048129
29,Clear,M,0.869924163223312,0.8785978360498283,0.8311345646437994,0.8422459893048129
30,Marginal,S,0.6112614237614238,0.6394615777314863,0.5520833333333334,0.5910780669144982
30,Marginal,M,0.570661976911977,0.5891762087186594,0.5729166666666666,0.5945945945945946
30,Clear,S,0.8895729807125412,0.9068748757068192,0.8198433420365535,0.854421768707483
30,Clear,M,0.8790027794154804,0.8895724414043467,0.8172323759791122,0.8528610354223434
31,Marginal,S,0.62874329166464,0.6368100181761522,0.550561797752809,0.5915492957746479
