seed,tau,Group,rs,rm
17,0.5,Overall,0.7078986587183308,0.7123695976154992
17,0.5,High-Risk,0.8755020080321285,0.8875502008032129
17,0.5,Low-Risk,0.5592105263157895,0.5657894736842105
17,0.6,Overall,0.6110283159463488,0.5961251862891207
17,0.6,High-Risk,0.7831325301204819,0.8072289156626506
17,0.6,Low-Risk,0.4407894736842105,0.3881578947368421
17,0.7,Overall,0.4798807749627422,0.4157973174366617
17,0.7,High-Risk,0.6666666666666666,0.606425702811245
17,0.7,Low-Risk,0.2894736842105263,0.21710526315789475
18,0.3,Overall,0.9031296572280179,0.9239940387481371
18,0.3,High-Risk,0.9764705882352941,0.996078431372549
18,0.3,Low-Risk,0.8142857142857143,0.8428571428571429
18,0.4,Overall,0.8301043219076006,0.8554396423248882
18,0.4,High-Risk,0.9411764705882353,0.9568627450980393
18,0.4,Low-Risk,0.6714285714285714,0.7071428571428572
18,0.5,Overall,0.7406855439642325,0.7302533532041728
18,0.5,High-Risk,0.9019607843137255,0.8745098039215686
18,0.5,Low-Risk,0.4857142857142857,0.5
18,0.6,Overall,0.6229508196721312,0.5916542473919523
18,0.6,High-Risk,0.8117647058823529,0.788235294117647
18,0.6,Low-Risk,0.3357142857142857,0.32857142857142857
18,0.7,Overall,0.5096870342771982,0.4485842026825633
18,0.7,High-Risk,0.6862745098039216,0.611764705882353
18,0.7,Low-Risk,0.20714285714285716,0.17857142857142858
19,0.3,Overall,0.8882265275707899,0.9120715350223547
19,0.3,High-Risk,0.968503937007874,0.9803149606299213
19,0.3,Low-Risk,0.7465753424657534,0.8082191780821918
19,0.4,Overall,0.8137108792846498,0.8315946348733234
19,0.4,High-Risk,0.9173228346456693,0.9291338582677166
19,0.4,Low-Risk,0.6027397260273972,0.6506849315068494
19,0.5,Overall,0.7213114754098361,0.7257824143070045
19,0.5,High-Risk,0.8779527559055118,0.8661417322834646
19,0.5,Low-Risk,0.4589041095890411,0.4863013698630137
19,0.6,Overall,0.6080476900149031,0.5707898658718331
19,0.6,High-Risk,0.7795275590551181,0.7086614173228346
19,0.6,Low-Risk,0.3150684931506849,0.3082191780821918
19,0.7,Overall,0.45156482861400893,0.3979135618479881
19,0.7,High-Risk,0.5905511811023622,0.5354330708661418
19,0.7,Low-Risk,0.17123287671232876,0.1506849315068493
20,0.3,Overall,0.9225037257824144,0.9374068554396423
20,0.3,High-Risk,0.9718875502008032,0.9839357429718876
20,0.3,Low-Risk,0.8266666666666667,0.8533333333333334
20,0.4,Overall,0.8390461997019374,0.8643815201192251
20,0.4,High-Risk,0.9397590361445783,0.9558232931726908
20,0.4,Low-Risk,0.6533333333333333,0.7133333333333334
20,0.5,Overall,0.736214605067064,0.7600596125186289
20,0.5,High-Risk,0.8955823293172691,0.9116465863453815
20,0.5,Low-Risk,0.5266666666666666,0.5333333333333333
20,0.6,Overall,0.6333830104321908,0.5961251862891207
20,0.6,High-Risk,0.8112449799196787,0.7991967871485943
20,0.6,Low-Risk,0.36,0.2866666666666667
20,0.7,Overall,0.481371087928465,0.43219076005961254
20,0.7,High-Risk,0.6586345381526104,0.6104417670682731
20,0.7,Low-Risk,0.18666666666666668,0.16666666666666666
21,0.3,Overall,0.9090909090909091,0.9359165424739195
21,0.3,High-Risk,0.9710743801652892,0.9834710743801653
21,0.3,Low-Risk,0.8092105263157895,0.868421052631579
21,0.4,Overall,0.8360655737704918,0.8599105812220567
21,0.4,High-Risk,0.9380165289256198,0.9586776859504132
21,0.4,Low-Risk,0.7236842105263158,0.7302631578947368
