seed,design,Group,Model,ROC,Rec
28,FULL,Marginal,M,0.64576937,0.61165049
28,FULL,Clear,S,0.88739720,0.87292818
28,FULL,Clear,M,0.87912790,0.87292818
28,FOLD,Marginal,S,0.66704008,0.61812298
28,FOLD,Marginal,M,0.63799685,0.61812298
28,FOLD,Clear,S,0.88739720,0.87292818
28,FOLD,Clear,M,0.87730128,0.87292818
29,FULL,Marginal,S,0.67152466,0.60273973
29,FULL,Marginal,M,0.66232570,0.65068493
29,FULL,Clear,S,0.88159838,0.83113456
29,FULL,Clear,M,0.87910921,0.83113456
29,FOLD,Marginal,S,0.67152466,0.60273973
29,FOLD,Marginal,M,0.66138891,0.62671233
29,FOLD,Clear,S,0.88159838,0.83113456
29,FOLD,Clear,M,0.88206303,0.83113456
30,FULL,Marginal,S,0.61126142,0.55208333
30,FULL,Marginal,M,0.62388769,0.58680556
30,FULL,Clear,S,0.88957298,0.81984334
30,FULL,Clear,M,0.88829277,0.81984334
30,FOLD,Marginal,S,0.61126142,0.55208333
30,FOLD,Marginal,M,0.62065596,0.58333333
30,FOLD,Clear,S,0.88957298,0.81984334
30,FOLD,Clear,M,0.89284932,0.81723238
31,FULL,Marginal,S,0.62874329,0.55056180
31,FULL,Marginal,M,0.62681389,0.58426966
31,FULL,Clear,S,0.88939636,0.84405941
31,FULL,Clear,M,0.88391089,0.84653465
31,FOLD,Marginal,S,0.62874329,0.55056180
31,FOLD,Marginal,M,0.62585729,0.56179775
31,FOLD,Clear,S,0.88939636,0.84405941
31,FOLD,Clear,M,0.88371127,0.84405941
32,FULL,Marginal,S,0.67475601,0.59271523
32,FULL,Marginal,M,0.64306669,0.59933775
32,FULL,Clear,S,0.88630874,0.84823848
32,FULL,Clear,M,0.88778063,0.84823848
32,FOLD,Marginal,S,0.67443651,0.59271523
32,FOLD,Marginal,M,0.64559370,0.60927152
32,FOLD,Clear,S,0.88630874,0.84823848
32,FOLD,Clear,M,0.89007507,0.85094851
33,FULL,Marginal,S,0.64818207,0.57966102
33,FULL,Marginal,M,0.61869874,0.59661017
33,FULL,Clear,S,0.89290901,0.85106383
33,FULL,Clear,M,0.89243701,0.85106383
33,FOLD,Marginal,S,0.64818207,0.57966102
33,FOLD,Marginal,M,0.61992892,0.60000000
33,FOLD,Clear,S,0.89291809,0.85106383
33,FOLD,Clear,M,0.89050359,0.84574468
34,FULL,Marginal,S,0.65521544,0.58007117
34,FULL,Marginal,M,0.60277041,0.57651246
34,FULL,Clear,S,0.90272325,0.83333333
34,FULL,Clear,M,0.89838196,0.83333333
34,FOLD,Marginal,S,0.65521544,0.58007117
34,FOLD,Marginal,M,0.61808283,0.57651246
34,FOLD,Clear,S,0.90272325,0.83333333
34,FOLD,Clear,M,0.90118479,0.83333333
35,FULL,Marginal,S,0.64683621,0.60810811
35,FULL,Marginal,M,0.63333720,0.57432432
35,FULL,Clear,S,0.89919481,0.85333333
35,FULL,Clear,M,0.89253680,0.85333333
35,FOLD,Marginal,S,0.64683621,0.60810811
35,FOLD,Marginal,M,0.61635831,0.56418919
