row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
127,-5.1993376,-0.085414417,-5.1993376,-1.059682,-1.3219458,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,0.69910809,-1.6691125,-5.1993376
128,1.0230033,-1.7274656,-0.1422445,-0.72008693,0.30448193,0.87535389,0.25360621,-5.1993376,-5.1993376,0.0062728847,-1.1694007,-0.36553148,-5.1993376
129,-5.1993376,0.61805886,0.55253687,0.36821529,-1.3219458,0.29660674,-1.1768904,-5.1993376,5.1993376,2.3652476,1.3781138,2.0965206,-5.1993376
130,0.51349142,1.0124743,0.55253687,0.75299744,-0.26398459,0.62109893,-0.36687305,-5.1993376,-5.1993376,0.0062728847,0.18547963,-0.79704409,0.42248277
131,-5.1993376,0.79360155,0.2239158,-0.23808933,0.63946185,0.62109893,-1.5215251,-5.1993376,-5.1993376,-5.1993376,-0.60746322,-1.2502419,-5.1993376
132,-5.1993376,-1.505747,0.55253687,-0.50492201,0.17400458,-0.1422445,-0.67055744,-5.1993376,-5.1993376,0.06025574,-1.1694007,-0.79704409,-5.1993376
133,-5.1993376,0.22648938,1.2640664,1.3249577,-0.69112102,-5.1993376,0.25360621,-5.1993376,5.1993376,1.1328976,0.18547963,-0.57311539,-5.1993376
134,-5.1993376,1.4979966,-1.3657531,-0.98357337,-2.0431151,-5.1993376,0.25360621,5.1993376,-5.1993376,0.98969684,0.69910809,-0.79704409,-5.1993376
135,-5.1993376,-1.1140325,-0.43348197,0.29267606,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,0.68159434,1.3781138,-1.4678604,-5.1993376
136,2.1079532,1.8587466,1.0841952,0.47100434,-1.3219458,1.4354772,1.2447784,5.1993376,-5.1993376,0.8570968,-0.21363612,0.71036555,-5.1993376
137,-5.1993376,-0.75967739,0.11820414,0.05146002,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,0.7413876,0.18547963,-1.2502419,-5.1993376
138,-5.1993376,-0.085414417,-0.7315153,-0.72008693,-0.26398459,-0.1422445,-0.67055744,5.1993376,-5.1993376,0.68159434,0.69910809,0.29922973,0.71734357
139,-5.1993376,-0.85167519,-0.7315153,-0.041412601,1.2023467,0.29660674,-1.1768904,-5.1993376,-5.1993376,0.58796385,-0.60746322,-1.2502419,-5.1993376
140,-5.1993376,-0.98969684,2.2838445,0.54088248,0.30448193,-0.1422445,-0.67055744,-5.1993376,-5.1993376,-0.92233022,-1.1694007,0.85167519,1.6437904
141,-5.1993376,-0.59993651,-0.1422445,0.13337869,-1.3219458,-5.1993376,0.25360621,5.1993376,5.1993376,-0.45564031,0.69910809,0.14858402,-5.1993376
142,-5.1993376,-0.75466427,-0.7315153,-0.44869228,1.3684503,0.62109893,-1.5215251,5.1993376,5.1993376,-5.1993376,-0.60746322,0.98561042,-5.1993376
143,-5.1993376,-1.0166724,-0.1422445,0.54088248,-0.26398459,-0.1422445,-0.67055744,5.1993376,-5.1993376,0.37628274,1.3781138,0.98561042,-5.1993376
144,-5.1993376,0.52209871,0.91087287,1.123415,-1.3219458,-0.1422445,-0.67055744,-5.1993376,5.1993376,0.37628274,2.1196682,-1.0230033,-5.1993376
145,-5.1993376,2.1696941,0.55253687,1.0909946,-0.97143575,-5.1993376,0.25360621,5.1993376,-5.1993376,0.10810309,1.3781138,1.8952593,-5.1993376
146,0.51349142,0.65648594,-1.3159579,-2.1316816,0.30448193,0.29660674,0.25360621,5.1993376,5.1993376,-5.1993376,-0.60746322,0.58052362,-5.1993376
147,0.51349142,-0.56868553,-0.7315153,-0.6150245,0.63946185,1.4354772,-1.3846283,5.1993376,5.1993376,1.6896701,-1.1694007,0.98561042,1.2127505
148,0.51349142,-0.23292993,1.2640664,0.05146002,0.30448193,1.0774455,-0.98765156,-5.1993376,-5.1993376,0.37628274,-0.60746322,0.29922973,-5.1993376
149,1.0230033,2.311635,1.649237,0.54088248,-1.8114574,0.29660674,1.761948,5.1993376,-5.1993376,0.45842568,-0.21363612,-0.001254569,1.7572996
150,0.51349142,0.8109099,-0.7315153,-1.8179677,1.2023467,0.29660674,0.25360621,-5.1993376,5.1993376,-5.1993376,-5.1993376,0.29922973,-5.1993376
151,1.4181186,0.11820414,1.2640664,1.533612,-0.26398459,0.62109893,2.1696941,5.1993376,-5.1993376,1.4181186,0.18547963,1.1140325,1.0967904
152,-5.1993376,0.90330062,-0.43348197,-0.041412601,-0.97143575,-5.1993376,0.25360621,5.1993376,5.1993376,-0.78332986,0.18547963,-0.57311539,-5.1993376
153,-5.1993376,1.7055704,0.55253687,1.5843543,-0.26398459,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.92233022,-0.21363612,0.58052362,0.72171378
154,0.51349142,0.41563423,0.55253687,0.78845531,-1.3219458,-0.1422445,1.2447784,5.1993376,-5.1993376,1.1400769,-0.21363612,0.58052362,1.8158937
155,-5.1993376,-0.32557657,0.55253687,0.40607882,-0.97143575,-5.1993376,0.25360621,5.1993376,-5.1993376,-0.65804298,0.69910809,0.14858402,0.96479478
156,0.51349142,2.181154,1.0841952,0.64872442,-1.3219458,0.29660674,0.25360621,5.1993376,5.1993376,-0.11441489,0.18547963,-0.79704409,0.24196303
157,1.0230033,0.62872436,-0.1422445,-0.18547963,0.63946185,2.5117912,-1.994971,5.1993376,-5.1993376,0.77314015,-1.1694007,0.85167519,-5.1993376
